"Уютный дом","Пн.-Пт. с 09.00 до 18.00 Сб.-Вс. - выходной.","768","ул. Кирова, 25г"
"Союз Дом Сервис","Пн.-Пт. с 08.00 до 17.00 Сб.-Вс. - выходной.","768","Калинина, 14"
"Витан","Пн.-Пт. с 08.00 до 17.00 Сб.-Вс. - выходной.","768","ул. Кирова, 16"
"Волна","Пн.-Пт. с 10.00 до 16.00 Сб.-Вс. - выходной.","768","Острякова пр-кт, 5"
"Гарант","Пн.-Чт. с 08.00 до 17.00 Пт. с 08.00 до 15.45 Сб.-Вс. - выходной.","768","ул. Ульяновская, 10/3"
"Форпост 1","Пн.-Пт. с 08.00 до 17.00 Обед с 12.00 до 13.00 Сб.-Вс. - выходной.","768","ул. Приморская, 3"
"ПримКомСистемы","Пн.-Пт. с 08.00 до 17.00 Сб.-Вс. - выходной.","768","ул. Новожилова, 39"
"МД","Пн.-Пт. с 09.00 до 17.00 Сб.-Вс. - выходной.","768","ул. Кирова, 25в"
"Приморские коммунальные системы","Пн.-Чт. с 08.00 до 17.00 Пт. с 08.00 до 16.00 Сб.-Вс. - выходной.","768","ул. Никифорова, 55а"
"Бамовцы","Ежедневно с 09.00 до 19.00","1013","ул. Тухачевского, 66"
"Емар","Круглосуточно","1013","ул. Артековская, 1а"
"Надежда","Ежедневно c 18.00 до 20.00","1013","ул. Фирсова, 8б"
"Подорожник","Пн.-Пт. с 09.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Некрасовская, 98 кв. 72"
"Толстовцы","Пн.-Пт. с 09.00 до 18.00 Сб.-Вс. - выходной.","1013","ул. Толстого, 38"
"Кедр","Пн.-Пт. с 09.00 до 18.00 Сб.-Вс. - выходной.","1013","ул. Маковского, 169а"
"Щитовая","Пн.-Пт. с 09.00 до 18.00 Сб.-Вс. - выходной.","1013","ул. Щитовая, 19 кв.15"
"Тухачевского 28","Круглосуточно","1013","ул. Тухачевского, 28"
"Аркада Хаус","Пн.-Пт. с 09.00 до 17.00 Обед с 13.00 до 14.00 Вс. - выходной.","1013","ул. Ильичева, 4"
"Некрасовская 57","Пн.-Пт. с 09.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Некрасовская, 57"
"Партизанский 28","Пн.-Пт. с 09.00 до 18.00 Сб.-Вс. - выходной.","1013","Партизанский пр-кт, 28 кв. 28"
"Сопка","Пн.-Пт. с 10.00 до 15.00 Сб.-Вс. - выходной.","1013","ул. Володарского, 8"
"Топаз","Пн.-Пт. с 09.00 до 18.00 Сб.-Вс. - выходной.","1013","ул. Енисейская, 14"
"Тигровый","Пн.-Пт. с 08.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. 1-я Морская, 12"
"Комсомольская 27","Пн.-Пт. с 08.00 до 18.00 Сб.-Вс. - выходной.","1013","ул. Комсомольская, 27"
"Колледж на Кирова","Пн.-Пт. с 10.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Кирова, 93а"
"Четвертая 8","Сб. с 13.00 до 20.00","1013","ул. Четвертая, 8 корп. 5"
"Радуга","Пн.-Пт. с 18.00 до 20.00 Сб.-Вс. - выходной.","1013","Красного Знамени пр-кт, 61 ж"
"Бастион 51а","Пн.-Пт. с 09.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Калинина, 51а кв. 25"
"3-я Строительная 12","Пн.-Пт. с 18.00 до 20.00 Сб.-Вс. - выходной.","1013","ул. 3-я Строительная, 12"
"Дальневосточный 1","Круглосуточно","1013","ул. Некрасовская, 88"
"Приморец","Пн.-Пт. с 09.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Светланская, 63 кв. 9"
"На Фонтанной","Пн.-Пт. с 10.00 до 18.00 Сб.-Вс. - выходной.","1013","ул. Фонтанная, 61а"
"Покровское","Пн. Пт. с 09.00 до 19.00","1013","ул. Карла Либкнехта, 14"
"На Вилкова","Пн.-Пт. с 09.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Вилкова, 37а"
"Кондоминиум №2","Пн.-Пт. с 08.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Давыдова, 7"
"На Океанском проспекте","Пн.-Пт. с 09.00 до 18.00 Сб.-Вс. - выходной.","1013","Океанский пр-кт, 101а"
"На Стрелковой","Пн.-Пт. с 09.00 до 18.00 Сб.-Вс. - выходной.","1013","ул. Стрелковая, 50"
"Океанский","Круглосуточно","1013","Океанский пр-кт, 70в"
"Парус","Круглосуточно","1013","ул. Некрасовская, 53"
"Авангард","Пн.-Пт. с 10.00 до 18.00 Сб.-Вс. - выходной.","1013","ул. Карла Либкнехта, 10а"
"Берег","Ежедневно с 11.00 до 15.00","1013","ул. Станюковича, 52"
"Восток","Ежедневно с 09.00 до 15.00","1013","ул. Русская, 77"
"Гармония","Пн.-Пт. с 09.00 до 17.00 Сб.-Вс. - выходной.","1013","Океанский пр-кт, 54"
"Давыдова 42","Круглосуточно","1013","ул. Давыдова, 42"
"Дальневосточный 2","Круглосуточно","1013","ул. Некрасовская, 48а"
"Кружева","Пн. Ср. с 18.00 до 20.00 Пт. с 17.00 до 20.00 Сб.-Вс. - выходной.","1013","ул. Союзная, 17"
"Никифорова","Круглосуточно","1013","ул. Никифорова, 53в"
"Садовая","Ежедневно с 10.00 до 18.00","1013","ул. Садовая, 25"
"Союз","Вт.-Чт. с 18.00 до 20.00 Сб.-Вс. - выходной.","1013","ул. Толстого, 43а"
"Тополиная аллея","Ежедневно с 10.00 до 18.00","1013","Красного Знамени пр-кт, 34"
"Ульяновская","Пн.-Пт. с 09.00 до 18.00 Сб.-Вс. - выходной.","1013","ул. Ульяновская, 8"
"Юпитер","Пн.-Чт. с 18.00 до 20.00","1013","ул. Амурская, 82"
"Капитан","Пн.-Пт. с 09.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Верхнепортовая, 40"
"На Шилкинской","Круглосуточно","1013","ул. Шилкинская, 5"
"Первомайское","Вт.-Чт. с 17.00 до 19.00","1013","ул.Калинина, 111"
"Русская 57к","Пн.-Пт. с 09.00 до 18.00 Сб.-Вс. - выходной.","1013","ул. Русская, 57к"
"На Башидзе 1","Ежедневно с 10.00 до 12.00, с 17.00 до 19.00","1013","ул.Башидзе, 1"
"Молодежная","Ежедневно с 10.00 до 18.00","1013","100-летия Владивостока пр-кт, 26"
"Ласточка","Пн.-Пт. с 08.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Некрасовская, 61"
"Океан","Пн.-Чт. с 09.00 до 14.00 Пт.-Вс. - выходной.","1013","ул. Гамарника, 14б"
"Восток","Ежедневно с 09.00 до 22.00","1013","ул. Маковского, 193а"
"Линком","Пн.-Пт. с 08.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Державина, 55"
"Побережье","Пн.-Пт. с 09.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Анисимова, 1"
"Глория","Пн.-Пт. с 18.00 до 20.00 Сб.-Вс.- выходной.","1013","ул. Карбышева, 46а"
"Лидер","Пн.-Пт. с 08.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Давыдова, 36"
"Муравей","Ежедневно с 09.00 до 20.00","1013","ул. Муравьева-Амурского, 15/17"
"Родник","Пн.-Пт. с 09.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Зейская, 12"
"Феникс","Пн.-Пт. с 09.00 до 17.00 Сб.-Вс. - выходной.","1013","ул. Нейбута, 81а"
